province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,LESS THAN 5 YEARS,9 AND MORE,2470,5.25,904,1.92,37
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,5-10 YEARS,9 AND MORE,8527,18.12,904,1.92,133
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,11-50 YEARS,9 AND MORE,31049,65.98,904,1.92,572
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,OVER 50 YEARS,9 AND MORE,4086,8.68,904,1.92,144
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,1,926,1.97,7142,15.18,162
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,1,2470,5.25,7142,15.18,337
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,1,8527,18.12,7142,15.18,1257
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,1,31049,65.98,7142,15.18,4861
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,1,4086,8.68,7142,15.18,525
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,2,926,1.97,12401,26.35,270
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,2,2470,5.25,12401,26.35,647
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,2,8527,18.12,12401,26.35,2426
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,2,31049,65.98,12401,26.35,8167
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,2,4086,8.68,12401,26.35,891
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,3,926,1.97,10780,22.91,233
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,3,2470,5.25,10780,22.91,650
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,3,8527,18.12,10780,22.91,2029
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,3,31049,65.98,10780,22.91,6980
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,3,4086,8.68,10780,22.91,888
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,4,926,1.97,7842,16.66,120
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,4,2470,5.25,7842,16.66,368
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,4,8527,18.12,7842,16.66,1365
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,4,31049,65.98,7842,16.66,5153
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,4,4086,8.68,7842,16.66,836
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,5,926,1.97,3727,7.92,47
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,5,2470,5.25,3727,7.92,164
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,5,8527,18.12,3727,7.92,583
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,5,31049,65.98,3727,7.92,2556
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,5,4086,8.68,3727,7.92,377
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,6,926,1.97,2391,5.08,44
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,6,2470,5.25,2391,5.08,159
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,6,8527,18.12,2391,5.08,429
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,6,31049,65.98,2391,5.08,1517
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,6,4086,8.68,2391,5.08,242
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,7,926,1.97,1175,2.5,17
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,7,2470,5.25,1175,2.5,70
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,7,8527,18.12,1175,2.5,183
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,7,31049,65.98,1175,2.5,786
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,7,4086,8.68,1175,2.5,119
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,8,926,1.97,696,1.48,15
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,8,2470,5.25,696,1.48,38
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,8,8527,18.12,696,1.48,122
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,8,31049,65.98,696,1.48,457
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,8,4086,8.68,696,1.48,64
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,UNDER CONSTRUCTION,9 AND MORE,926,1.97,904,1.92,18
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,LESS THAN 5 YEARS,9 AND MORE,2470,5.25,904,1.92,37
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,5-10 YEARS,9 AND MORE,8527,18.12,904,1.92,133
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,11-50 YEARS,9 AND MORE,31049,65.98,904,1.92,572
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,OVER 50 YEARS,9 AND MORE,4086,8.68,904,1.92,144
