province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
PUNJAB,051,NAROWAL DISTRICT,NA,NA,NA,YES,NAROWAL DISTRICT,NA,200663,148627,44047,7989,178713,198438,8590,151472,178318,175526,7.18
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,NA,NA,YES,NAROWAL TEHSIL,NA,63743,44890,16678,2175,51283,63026,4026,44388,57798,59368,7.18
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,NA,YES,AHMED ABAD QH,NA,11012,7717,2905,390,8701,10919,701,7492,9887,10125,7.07
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHMEDABAD PC,YES,AHMEDABAD PC,NA,481,306,168,7,392,450,59,319,433,433,6.77
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHMEDABAD PC,NO,GILL,0000034,298,204,90,4,263,296,47,189,273,276,6.89
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHMEDABAD PC,NO,GOJAR WALI,0000033,88,42,43,3,49,87,5,65,79,78,6.97
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHMEDABAD PC,NO,SAHDANWALI,0000032,63,33,30,0,62,36,4,40,51,49,6.43
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHMEDABAD PC,NO,TATKE,0000035,32,27,5,0,18,31,3,25,30,30,5.75
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHULAL PC,YES,AHULAL PC,NA,887,535,343,9,570,884,31,531,813,836,7.24
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHULAL PC,NO,AHULAL,0000117,397,249,143,5,168,396,3,256,371,387,7.5
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHULAL PC,NO,JONDAH PUNNU,0000113,208,136,69,3,197,207,12,115,193,197,6.78
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHULAL PC,NO,NAIWAIN,0000120,186,107,79,0,111,186,10,94,175,175,7.2
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,AHULAL PC,NO,RASOOL PUR UNCHI,0000121,96,43,52,1,94,95,6,66,74,77,7.23
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 1 PC,YES,ALI PUR SAIDAN NO 1 PC,NA,555,467,72,16,550,551,172,505,542,544,6.51
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 1 PC,NO,ALI PUR SAIDAN,0000125,338,290,43,5,336,336,146,310,334,336,6.46
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 1 PC,NO,FATEH PUR,0000123,38,29,4,5,35,38,2,37,34,34,6.16
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 1 PC,NO,KHAIR ULLAH PUR,0000122,47,33,8,6,47,47,2,47,46,46,6.51
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 1 PC,NO,MAHAL SAEED PUR,0000124,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 1 PC,NO,MIAN KHANGORAH,0000127,132,115,17,0,132,130,22,111,128,128,6.75
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 2 PC,YES,ALI PUR SAIDAN NO 2 PC,NA,758,491,240,27,635,754,44,530,702,713,6.88
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 2 PC,NO,BALO WALI,0000131,119,68,40,11,117,119,6,68,106,106,6.15
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 2 PC,NO,FALEZ PUR,0000130,334,184,139,11,325,332,2,222,297,311,6.74
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 2 PC,NO,GANDO WALI,0000128,104,95,8,1,103,104,10,92,104,104,7.38
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 2 PC,NO,LODHI KHAN GORAH,0000126,136,112,24,0,26,135,15,99,131,130,7.38
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,ALI PUR SAIDAN NO 2 PC,NO,SAIR FATEH,0000129,65,32,29,4,64,64,11,49,64,62,7.06
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR I PC,YES,BAHLOLPUR I PC,NA,475,337,113,25,465,474,41,373,437,449,7.11
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR I PC,NO,BAHLOL PUR,0000141,88,63,25,0,88,88,34,76,83,83,6.6
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR I PC,NO,KHEWA,0000144,180,119,60,1,175,179,4,124,163,167,7.05
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR I PC,NO,KOTLI SANGE,0000143,130,108,12,10,130,130,0,115,124,125,7.15
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR I PC,NO,MANN,0000142,77,47,16,14,72,77,3,58,67,74,7.74
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR II PC,YES,BAHLOLPUR II PC,NA,502,339,154,9,480,500,63,315,440,470,7.12
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR II PC,NO,BADHAI,0000139,87,46,38,3,83,87,0,53,80,85,7.13
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR II PC,NO,BULO,0000138,188,151,34,3,171,187,62,130,165,182,7.29
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BAHLOLPUR II PC,NO,KHEMONWALI,0000140,227,142,82,3,226,226,1,132,195,203,6.97
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BUBAK PC,YES,BUBAK PC,NA,1246,1063,159,24,554,1244,63,801,1126,1129,6.86
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BUBAK PC,NO,AKAL GARH,0000356,119,112,1,6,11,119,9,89,109,108,7.18
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BUBAK PC,NO,BOSO WIRAN,0000360,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BUBAK PC,NO,BUBAK,0000336,497,414,77,6,169,496,40,362,442,444,6.81
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BUBAK PC,NO,DATA GORAYA,0000361,256,215,32,9,249,255,1,125,219,220,7.07
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,BUBAK PC,NO,MARALI,0000362,374,322,49,3,125,374,13,225,356,357,6.67
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 1 PC,YES,DHANG NO 1 PC,NA,489,289,198,2,374,487,24,333,445,457,6.78
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 1 PC,NO,BALAQI PUR,0000136,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 1 PC,NO,DHANG,0000137,167,114,53,0,142,167,3,145,164,166,7.19
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 1 PC,NO,JENEKE,0000133,44,29,14,1,37,44,0,30,34,32,8
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 1 PC,NO,MEERAKPUR,0000150,165,103,61,1,85,163,0,90,152,163,6.78
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 1 PC,NO,NARANG WALI,0000040,113,43,70,0,110,113,21,68,95,96,5.72
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 2 PC,YES,DHANG NO 2 PC,NA,370,258,109,3,347,369,24,273,339,351,7.28
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 2 PC,NO,BHOJO DHAND SAH,0000134,233,163,68,2,216,233,21,181,212,222,7.31
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 2 PC,NO,NARO RAYYA,0000145,24,17,7,0,23,24,0,6,21,20,7.96
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 2 PC,NO,RAM DHAN SAH,0000135,68,51,17,0,63,67,3,47,62,65,6.51
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DHANG NO 2 PC,NO,SAHO BHALO,0000132,45,27,17,1,45,45,0,39,44,44,7.89
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DOMALAH PC,YES,DOMALAH PC,NA,1337,905,392,40,1142,1318,39,847,1204,1216,7.31
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DOMALAH PC,NO,CHAK SHAHABDEKEE,0000343,1,0,1,0,1,1,0,0,1,1,1
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DOMALAH PC,NO,DOMALAH,0000354,716,549,146,21,571,709,35,391,680,689,7.01
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DOMALAH PC,NO,GAJJOKE,0000342,185,114,68,3,180,185,1,159,174,174,8.3
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DOMALAH PC,NO,KAISOWALI,0000355,150,100,46,4,140,150,0,100,131,130,7.19
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DOMALAH PC,NO,SATO BAJWAH,0000357,28,18,10,0,28,28,0,22,23,24,6.29
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,DOMALAH PC,NO,SHAHBDEKI,0000341,257,124,121,12,222,245,3,175,195,198,7.66
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,KOTLI MOHAMMAD SIDDIQ PC,YES,KOTLI MOHAMMAD SIDDIQ PC,NA,854,675,167,12,827,851,21,719,799,793,7.26
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,KOTLI MOHAMMAD SIDDIQ PC,NO,BHEDAN KHANI,0000156,78,53,25,0,76,77,3,63,75,73,7.81
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,KOTLI MOHAMMAD SIDDIQ PC,NO,GHAS,0000154,124,109,14,1,123,124,0,111,119,115,7.16
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,KOTLI MOHAMMAD SIDDIQ PC,NO,KOTLI MOHAMMAD SIDDIQ,0000151,194,137,55,2,193,194,1,183,190,190,7.7
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,KOTLI MOHAMMAD SIDDIQ PC,NO,MEHMONWALI,0000155,93,71,19,3,75,93,16,73,86,83,7
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,KOTLI MOHAMMAD SIDDIQ PC,NO,MOTI,0000153,123,98,23,2,119,122,1,89,115,114,7.15
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,KOTLI MOHAMMAD SIDDIQ PC,NO,MUSALMANI,0000160,242,207,31,4,241,241,0,200,214,218,6.94
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,LALA PC,YES,LALA PC,NA,1397,923,380,94,1355,1388,41,983,1199,1236,7.32
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,LALA PC,NO,BUDHA DHARANG,0000036,169,127,42,0,168,167,1,133,131,128,8.02
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,LALA PC,NO,CHAKHAR,0000037,98,78,8,12,89,98,0,54,74,70,6.64
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,LALA PC,NO,CHEDAH,0000168,414,279,126,9,407,414,30,299,389,402,7.32
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,LALA PC,NO,CHHIMAH,0000038,195,118,24,53,192,195,0,148,171,172,7.41
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,LALA PC,NO,KOT ARAIAN,0000169,127,84,43,0,126,126,0,88,114,116,6.6
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,LALA PC,NO,LALA,0000170,394,237,137,20,373,388,10,261,320,348,7.39
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,RAYYA GORAYAH PC,YES,RAYYA GORAYAH PC,NA,864,672,164,28,460,857,50,471,738,789,6.71
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,RAYYA GORAYAH PC,NO,BHAITI GORAHYAH,0000337,194,102,72,20,129,190,8,107,154,174,6.21
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,RAYYA GORAYAH PC,NO,MAUNDEKE,0000338,183,153,26,4,172,180,7,111,157,175,7.22
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,RAYYA GORAYAH PC,NO,NAT,0000161,92,70,22,0,3,92,0,60,80,80,6.78
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,RAYYA GORAYAH PC,NO,RAYYA GORAHYAH,0000152,395,347,44,4,156,395,35,193,347,360,6.69
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,YES,SAIKHWAN PC,NA,797,457,246,94,550,792,29,492,670,709,7.27
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,NO,BUTTAR,0000146,112,81,27,4,82,110,3,88,95,111,6.48
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,NO,CHAHAL,0000149,103,56,44,3,14,103,0,56,85,91,7.15
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,NO,CHANDOKE,0000119,161,63,44,54,129,160,16,90,148,146,7.57
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,NO,HABIB CHAK,0000340,37,25,11,1,36,37,0,25,27,28,7.27
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,NO,JAROWALI,0000118,105,61,43,1,102,103,5,53,73,100,7.26
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,NO,KALAIR,0000147,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,NO,RAJADAH,0000339,172,92,50,30,86,172,3,77,142,142,6.8
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,AHMED ABAD QH,SAIKHWAN PC,NO,SAIKHWAN,0000148,107,79,27,1,101,107,2,103,100,91,8.53
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,NA,YES,GHOTA FATEH GARH QH,NA,13593,9488,3575,530,11089,13405,883,9558,12617,12830,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DAUD PC,YES,DAUD PC,NA,305,218,80,7,299,304,8,200,273,284,7.23
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DAUD PC,NO,ARAZI BUBARK PUR,0000539,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DAUD PC,NO,DAUD,0000543,305,218,80,7,299,304,8,200,273,284,7.23
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHABLI WALA PC,YES,DHABLI WALA PC,NA,1231,986,221,24,1083,1224,58,1064,1179,1187,7.21
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHABLI WALA PC,NO,CHACHO WALI,0000367,138,104,29,5,35,138,14,125,134,131,6.65
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHABLI WALA PC,NO,DHABLI WALA,0000363,595,498,90,7,580,592,31,589,589,593,6.88
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHABLI WALA PC,NO,JALIL PUR,0000334,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHABLI WALA PC,NO,RATIAN,0000333,220,168,46,6,195,218,8,117,193,196,7.96
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHABLI WALA PC,NO,SADIQABAD,0000335,278,216,56,6,273,276,5,233,263,267,7.61
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHARIWAL NO 1 PC,YES,DHARIWAL NO 1 PC,NA,427,223,169,35,392,425,17,388,404,403,7.02
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHARIWAL NO 1 PC,NO,BOREWALI,0000479,224,138,73,13,222,224,3,220,221,213,7.29
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHARIWAL NO 1 PC,NO,CHAK DOBANNI,0000441,58,25,20,13,30,57,5,31,53,53,7
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHARIWAL NO 1 PC,NO,MANDARWALA,0000492,145,60,76,9,140,144,9,137,130,137,6.61
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHARIWAL NO 2 PC,YES,DHARIWAL NO 2 PC,NA,407,220,128,59,66,401,60,236,375,385,7.45
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHARIWAL NO 2 PC,NO,BALIAN,0000480,209,118,61,30,26,203,44,111,193,192,7.85
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHARIWAL NO 2 PC,NO,DADIAN,0000440,86,33,39,14,15,86,6,75,84,84,6.76
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,DHARIWAL NO 2 PC,NO,DHARIWAL,0000439,112,69,28,15,25,112,10,50,98,109,7.24
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,GHOTA FATEH GARH PC,YES,GHOTA FATEH GARH PC,NA,1323,803,419,101,1216,1275,47,876,1210,1272,7.45
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,GHOTA FATEH GARH PC,NO,GHOTA FATEH GARH,0000442,615,450,153,12,524,607,12,356,580,589,7.57
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,GHOTA FATEH GARH PC,NO,PONG,0000478,284,156,105,23,275,280,27,185,260,266,7.16
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,GHOTA FATEH GARH PC,NO,SARAJ,0000458,424,197,161,66,417,388,8,335,370,417,7.47
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KALAS GORAYA PC,YES,KALAS GORAYA PC,NA,662,557,89,16,443,659,38,460,588,612,7.28
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KALAS GORAYA PC,NO,DOGAR HINDU,0000484,46,29,10,7,14,45,3,26,33,32,5.89
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KALAS GORAYA PC,NO,DOGAR MUSALMAN,0000483,210,185,21,4,112,208,0,104,164,185,7.08
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KALAS GORAYA PC,NO,DOLAM,0000482,77,65,10,2,76,77,1,71,76,77,7.78
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KALAS GORAYA PC,NO,KALAS GORAYA,0000481,183,157,23,3,181,183,28,146,181,182,8.19
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KALAS GORAYA PC,NO,KHARAL,0000486,103,86,17,0,57,103,3,85,98,100,6.5
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KALAS GORAYA PC,NO,KOT SOLAKHAN,0000437,43,35,8,0,3,43,3,28,36,36,6.81
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KHAN KHASAH PC,YES,KHAN KHASAH PC,NA,821,492,279,50,712,814,37,468,757,786,7.62
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KHAN KHASAH PC,NO,DHOLA,0000114,159,105,46,8,154,159,0,132,148,150,7.16
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KHAN KHASAH PC,NO,KHAN,0000345,312,182,116,14,249,309,23,170,301,303,7.44
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KHAN KHASAH PC,NO,KHASAH,0000346,207,108,72,27,178,203,14,97,173,194,7.64
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KHAN KHASAH PC,NO,LALAR,0000115,13,9,4,0,12,13,0,10,13,13,7.23
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KHAN KHASAH PC,NO,TARGA,0000116,130,88,41,1,119,130,0,59,122,126,8.6
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KOT LAKHA SINGH PC,YES,KOT LAKHA SINGH PC,NA,1215,925,260,30,1177,1206,16,1014,1159,1156,7.01
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KOT LAKHA SINGH PC,NO,JATRI JHANDA,0000348,29,25,3,1,29,29,1,23,29,29,7.9
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KOT LAKHA SINGH PC,NO,KHANOWAL,0000456,211,185,24,2,210,211,6,190,204,205,6.11
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KOT LAKHA SINGH PC,NO,KOT LAKHA SINGH,0000457,321,245,69,7,311,318,1,314,311,314,7.62
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KOT LAKHA SINGH PC,NO,KOTLI WARYAM SINGH,0000347,81,60,21,0,80,81,4,55,74,74,7.15
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KOT LAKHA SINGH PC,NO,LADHAR BECHARAG,0000349,45,40,3,2,43,43,2,33,41,45,7
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KOT LAKHA SINGH PC,NO,MALBAJWAH,0000350,198,132,66,0,193,196,2,189,193,193,7.38
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,KOT LAKHA SINGH PC,NO,PAKHOKE,0000106,330,238,74,18,311,328,0,210,307,296,6.66
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MANAK PC,YES,MANAK PC,NA,1186,822,334,30,871,1174,191,861,1112,1132,7.33
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MANAK PC,NO,DAIB,0000435,174,148,26,0,169,172,14,140,157,156,7.38
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MANAK PC,NO,MANAK,0000438,739,513,207,19,547,730,130,550,708,717,7.11
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MANAK PC,NO,MANGIAN,0000436,273,161,101,11,155,272,47,171,247,259,7.9
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MOJOKE BET PC,YES,MOJOKE BET PC,NA,79,74,3,2,72,74,6,59,72,71,6.38
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MOJOKE BET PC,NO,FEROZE KE,0000551,3,2,1,0,3,0,0,2,3,2,8.67
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MOJOKE BET PC,NO,KOTLA HASSAN SHAH,0000491,6,6,0,0,5,6,4,5,6,6,5.83
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MOJOKE BET PC,NO,MOJOKE BET,0000550,1,1,0,0,1,0,0,1,0,0,2
PUNJAB,051,NAROWAL DISTRICT,NAROWAL TEHSIL,GHOTA FATEH GARH QH,MOJOKE BET PC,NO,RANDHER,0000549,69,65,2,2,63,68,2,51,63,63,6.39
