province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,OVER 50 YEARS,7969,7.65,BATH,NONE,11682,11.21,1756
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,OVER 50 YEARS,7969,7.65,LATRINE,SEWER,5372,5.16,256
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,OVER 50 YEARS,7969,7.65,LATRINE,SEPTIC TANK,19185,18.42,929
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,OVER 50 YEARS,7969,7.65,LATRINE,OPEN DRAIN,9072,8.71,656
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,OVER 50 YEARS,7969,7.65,LATRINE,PIT WITH SLAB,34166,32.8,1947
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,OVER 50 YEARS,7969,7.65,LATRINE,OTHER,10115,9.71,685
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,OVER 50 YEARS,7969,7.65,LATRINE,NONE,26259,25.21,3496
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,KITCHEN,SEPARATE,64542,61.96,1567
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,KITCHEN,SHARED,22996,22.08,469
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,KITCHEN,NONE,16631,15.97,209
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,BATH,SEPARATE,72538,69.63,1706
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,BATH,SHARED,19949,19.15,367
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,BATH,NONE,11682,11.21,172
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,LATRINE,SEWER,5372,5.16,348
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,LATRINE,SEPTIC TANK,19185,18.42,303
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,LATRINE,OPEN DRAIN,9072,8.71,236
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,LATRINE,PIT WITH SLAB,34166,32.8,701
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,LATRINE,OTHER,10115,9.71,276
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,UNDER CONSTRUCTION,2245,2.16,LATRINE,NONE,26259,25.21,381
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,KITCHEN,SEPARATE,64542,61.96,5367
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,KITCHEN,SHARED,22996,22.08,1637
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,KITCHEN,NONE,16631,15.97,1305
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,BATH,SEPARATE,72538,69.63,5937
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,BATH,SHARED,19949,19.15,1522
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,BATH,NONE,11682,11.21,850
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,LATRINE,SEWER,5372,5.16,604
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,LATRINE,SEPTIC TANK,19185,18.42,1787
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,LATRINE,OPEN DRAIN,9072,8.71,681
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,LATRINE,PIT WITH SLAB,34166,32.8,2738
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,LATRINE,OTHER,10115,9.71,863
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,LESS THAN 5 YEARS,8309,7.98,LATRINE,NONE,26259,25.21,1636
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,KITCHEN,SEPARATE,64542,61.96,13422
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,KITCHEN,SHARED,22996,22.08,4770
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,KITCHEN,NONE,16631,15.97,2834
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,BATH,SEPARATE,72538,69.63,15226
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,BATH,SHARED,19949,19.15,3936
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,BATH,NONE,11682,11.21,1864
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,LATRINE,SEWER,5372,5.16,1555
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,LATRINE,SEPTIC TANK,19185,18.42,4090
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,LATRINE,OPEN DRAIN,9072,8.71,1712
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,LATRINE,PIT WITH SLAB,34166,32.8,6691
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,LATRINE,OTHER,10115,9.71,2646
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,5-10 YEARS,21026,20.18,LATRINE,NONE,26259,25.21,4332
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,KITCHEN,SEPARATE,64542,61.96,39761
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,KITCHEN,SHARED,22996,22.08,14593
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,KITCHEN,NONE,16631,15.97,10266
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,BATH,SEPARATE,72538,69.63,44803
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,BATH,SHARED,19949,19.15,12777
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,BATH,NONE,11682,11.21,7040
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,LATRINE,SEWER,5372,5.16,2609
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,LATRINE,SEPTIC TANK,19185,18.42,12076
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,LATRINE,OPEN DRAIN,9072,8.71,5787
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,LATRINE,PIT WITH SLAB,34166,32.8,22089
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,LATRINE,OTHER,10115,9.71,5645
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,11-50 YEARS,64620,62.03,LATRINE,NONE,26259,25.21,16414
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,KITCHEN,SEPARATE,64542,61.96,4425
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,KITCHEN,SHARED,22996,22.08,1527
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,KITCHEN,NONE,16631,15.97,2017
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,BATH,SEPARATE,72538,69.63,4866
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,BATH,SHARED,19949,19.15,1347
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,BATH,NONE,11682,11.21,1756
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,LATRINE,SEWER,5372,5.16,256
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,LATRINE,SEPTIC TANK,19185,18.42,929
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,LATRINE,OPEN DRAIN,9072,8.71,656
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,LATRINE,PIT WITH SLAB,34166,32.8,1947
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,OVER 50 YEARS,7969,7.65,LATRINE,OTHER,10115,9.71,685
